Name,Location,Section,Type,Field of activity,Title,Sample
Khadzhibei,Odesa,History,Building,Tourism,Fortress,3d view
Catherine II of Russia,Odesa,History,Person,Politic,Empress ,portrait
Jose de Ribas,Odesa,History,Person,Politic,City Founder,portrait
Duc de Richelieu,Odesa,History,Person,Politic,Governor of Odessa,portrait
Portofranco,Odesa,History,Landmark,Economy,Sea Harbor,picture
Lustdorf,Odesa,History,City Satelite,Tourism,Recreation area,picture
Grigoriy Marazli,Odesa,History,Person,Politic,Governor of Odessa/Philantropist,portrait
The Greek Revollution,Odesa,History,Event,Politic,null,photos
Chumka Hill,Odesa,History,Landmark,Medicine,null,photos
Alexandr Bernardazzi,Odesa,History,Person,Architecture,Architect,3d pictures
Kyryak Kostandi,Odesa,Culture,Person,Fine arts,Impressionist,art work
Einstein's Battleship Potemkin,Odesa,Culture,Film,Cinematography,null,film abstract
Ilf & Petrov,Odesa,Culture,Person,Literature,Writers,film abstract
David Oistrah,Odesa,Culture,Person,Music,Violinist/ Volist.,mudic recording
Isaac Babel,Odesa,Culture,Person,Literature,Playwriter,text abstract
Emil Gilels,Odesa,Culture,Person,Music,Pianist,music recording
Leonid Utesov,Odesa,Culture,Person,Music,Jazz Singer ,voice recording
Odesa Philarmonic Theathre,Odesa,Culture,Building,Music,null,3d panorama
Odesa Academic Theathre of Musical Comedy ,Odesa,Culture,Building,Theather,null,3d panorama
Odesa Film Studio,Odesa,Culture,Building,Cinematography,null,3d panorama
Kira Muratova,Odesa,Culture,Person,Cinematography,Director/ Screenwriter/Actress,film abstract
Masc ,Odesa,Culture,Stand up show,TV,null,video abstract
Odesa International Film Festival,Odesa,Culture,Event,Cinematography,null,teaser
Museum of Western & Eastern Art,Odesa,Culture,Building,Fine arts,null,
Sviatoslav Richter,Odesa,Culture,Person,Music,,
Odesa Conceptualism,Odesa,Culture,,,,
Vinyl Market ,Odesa,Culture,,,,
Odesa JazzFest,Odesa,Culture,,,,
Mute Night Festyval,Odesa,Culture,,,,
Forshmak,Odesa,Food,,,,
Eggplant Caviar,Odesa,Food,,,,
Fishcakes,Odesa,Food,,,,
Privoz Market,Odesa,Food,,,,
Vienese Sausage,Odesa,Food,,,,
Odesa Sparkling,Odesa,Food,,,,
Falafel Disingoff,Odesa,Food,,,,
Grill Brothers,Odesa,Places,,,,
The Potemkin Steps,Odesa,Places,,,,
Opera Theathre,Odesa,Places,,,,
City Garden,Odesa,Places,,,,
Passage,Odesa,Places,,,,
Tolstoy palace,Odesa,Places,,,,
Vorontsov Lighthouse,Odesa,Places,,,,
Colonade,Odesa,Places,,,,
Cortyyards,Odesa,Places,,,,
Building with Atlante,Odesa,Places,,,,
Laokoon Statue,Odesa,Places,,,,
Lautheran Cathedrale,Odesa,Places,,,,
One-Wall House,Odesa,Places,,,,
Moldavanka,Odesa,Places,,,,
Starokinny Flea Market,Odesa,Places,,,,
Monument tp Esperanto Founder,Odesa,Places,,,,
Arkadia,Odesa,Places,,,,
Caleton,Odesa,Places,,,,
Karolino-Bugaz,Odesa,Places,,,,
Black Sea,Odesa,Nature,,,,
Mud Sharks,Odesa,Nature,,,,
Tram #20,Odesa,Nature,,,,
Wild Beaches,Odesa,Nature,,,,
Ferry Swans,Odesa,Nature,,,,
Odesa Cats,Odesa,Nature,,,,
Sycamores,Odesa,Nature,,,,
Odesa Zoological Museum,Odesa,Nature,,,,
Kyyalnyk Escuary,Odesa,Nature,,,,
Sergiy Utochkin,Odesa,Sports,,,,
The Healthy Road,Odesa,Sports,,,,
Chornomorets,Odesa,Sports,,,,
Ihor Belanov,Odesa,Sports,,,,
Odesa 100km Ultramarathon,Odesa,Sports,,,,
Chess Players,Odesa,Sports,,,,
Port of Odesa,Odesa,Technology,,,,
Ilya Mechnicov,Odesa,Technology,,,,
Yosyp Tymchenko,Odesa,Technology,,,,
Krayan,Odesa,Technology,,,,
Vladimir Filatov,Odesa,Technology,,,,
George Gamov,Odesa,Technology,,,,
Blue & Yellow Flag,Ukraine,History,,,,
Tryzub,Ukraine,History,Symbol,,,
Vyshyvanka,Ukraine,History,Clothing,,,
Hryvnia,Ukraine,History,Economic,,,
Schythians,Ukraine,History,Tours,,,
Gold Prctoral,Ukraine,History,,,,
Kosaky,Ukraine,History,,,,
Oseledets Hair Style,Ukraine,History,,,,
Roksolana,Ukraine,History,,,,
Bohdan Khmelnytskyy,Ukraine,History,,,,
Crimean Karaites,Ukraine,History,,,,
Mykola Amosov,Ukraine,History,,,,
Mykyta Khrushov,Ukraine,History,,,,
Independance Day,Ukraine,History,,,,
Orange Revolution,Ukraine,History,,,,
EuroMaidan,,,,,,
Ukrainian Icon,,,,,,
Holy Nights,,,,,,